Year,Month,Month Start Date,Community,Total Complaints,Total Number of Callers,data_as_of,data_loaded_at
2022,8,2022/08/01,Los Altos Hills,1914,12,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,9,2022/09/01,South San Francisco,1457,9,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,9,2022/09/01,Redwood City,689,9,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,10,2022/10/01,Scotts Valley,4611,28,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2024,1,2024/01/01,Daly City,688,8,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,2,2020/02/01,Scotts Valley,7365,57,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,4,2020/04/01,Foster City,31,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,4,2020/04/01,Fremont,39,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,8,2019/08/01,Brisbane,3225,22,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,11,2019/11/01,Sunnyvale,326,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,11,2019/11/01,Oakland,6867,28,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,1,2021/01/01,Redwood City,3409,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,1,2021/01/01,Woodside,1427,6,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,12,2020/12/01,Millbrae,9,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,4,2021/04/01,Capitola,594,8,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,4,2021/04/01,Los Altos,9768,64,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,3,2021/03/01,Los Altos,10264,68,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,5,2021/05/01,Los Altos Hills,2128,20,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,11,2019/11/01,Scotts Valley,7860,60,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,7,2021/07/01,Soquel,5526,41,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,7,2021/07/01,Burlingame,37,26,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,7,2021/07/01,Bonny Doon,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,12,2022/12/01,Atherton,78,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,2,2020/02/01,Woodside,1174,10,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,7,2021/07/01,Atherton,138,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,7,2020/07/01,Capitola,709,11,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,8,2020/08/01,Capitola,829,10,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,8,2020/08/01,Los Altos,9037,77,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,6,2020/06/01,Lafayette,22,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,7,2020/07/01,San Mateo,871,10,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,6,2020/06/01,Scotts Valley,3895,46,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,9,2020/09/01,San Francisco,2919,20,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,5,2022/05/01,San Francisco,2650,16,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,2,2022/02/01,San Francisco,2530,12,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,3,2022/03/01,Brisbane,327,9,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,11,2023/11/01,Foster City,280,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,11,2023/11/01,Los Altos Hills,815,10,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,2,2020/02/01,Los Altos Hills,8223,19,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,1,2020/01/01,Mountain View,3112,31,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,10,2021/10/01,San Carlos,48,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,5,2022/05/01,Portola Valley,17062,24,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,2,2022/02/01,Cupertino,138,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2024,2,2024/02/01,Daly City,1007,10,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,2,2020/02/01,Burlingame,189,9,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,12,2019/12/01,Portola Valley,6991,25,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,4,2023/04/01,Daly City,504,8,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,5,2023/05/01,Daly City,1445,9,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,2,2021/02/01,San Jose,294,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,1,2021/01/01,Richmond,928,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,1,2021/01/01,Scotts Valley,3685,43,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,2,2021/02/01,Atherton,500,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,5,2020/05/01,Los Gatos,5122,66,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,5,2020/05/01,Pacifica,726,19,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,10,2022/10/01,Emerald Hills,1770,6,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
